,adults,children,babies,country,Guest_id
0,2,0,0,PRT,1
2,1,0,0,GBR,2
4,2,0,0,GBR,3
12,2,0,0,USA,4
13,2,1,0,ESP,5
15,2,0,0,IRL,6
18,2,0,0,FRA,7
30,1,0,0,nan,8
34,3,0,0,PRT,9
36,2,0,0,ESP,10
39,2,0,0,ROU,11
45,2,2,0,PRT,12
47,2,0,0,NOR,13
52,2,0,0,OMN,14
54,2,0,0,ARG,15
55,2,2,0,ESP,16
65,2,2,0,USA,17
67,2,0,0,POL,18
77,1,0,0,PRT,19
78,2,0,0,DEU,20
87,2,1,0,PRT,21
93,2,0,0,BEL,22
97,3,0,0,ESP,23
102,1,2,0,FRA,24
109,2,0,1,PRT,25
110,2,0,0,CHE,26
125,4,0,0,PRT,27
134,1,0,0,DEU,28
143,2,1,0,CN,29
154,2,2,0,CHE,30
163,3,0,0,CN,31
166,3,0,0,USA,32
172,2,0,0,GRC,33
189,1,0,0,FRA,34
190,2,0,0,ITA,35
201,3,2,0,ESP,36
204,2,0,0,NLD,37
227,3,0,0,IRL,38
228,3,0,0,DNK,39
229,2,0,0,DNK,40
231,3,0,0,ARG,41
239,1,0,0,RUS,42
240,2,0,0,SWE,43
258,2,0,0,AUS,44
264,2,0,2,PRT,45
265,2,2,0,EST,46
271,2,1,0,GBR,47
272,2,1,1,PRT,48
273,3,1,0,PRT,49
276,2,0,1,GBR,50
290,2,0,0,CZE,51
307,2,2,0,CN,52
312,2,0,0,BRA,53
314,2,0,1,ESP,54
328,2,10,0,PRT,55
331,2,2,0,BEL,56
340,2,0,1,FIN,57
344,2,2,0,IRL,58
384,2,0,0,FIN,59
412,2,2,0,GBR,60
451,1,0,0,IRL,61
493,3,0,0,FRA,62
495,2,0,0,MOZ,63
496,2,1,0,BWA,64
505,2,1,0,MOZ,65
510,2,1,0,LUX,66
524,1,2,0,PRT,67
525,1,0,0,CN,68
554,2,0,0,RUS,69
607,3,0,0,CHE,70
609,2,1,0,IRL,71
614,2,1,0,FRA,72
629,2,0,0,CN,73
632,3,0,0,ROU,74
646,3,0,0,RUS,75
651,2,0,0,SVN,76
653,2,0,0,ALB,77
695,3,0,0,GBR,78
761,2,1,0,USA,79
795,1,0,0,ESP,80
804,2,1,0,BRA,81
839,1,0,0,NLD,82
933,3,1,0,IRL,83
937,2,1,0,IND,84
956,2,0,0,CHN,85
994,2,0,0,MEX,86
998,2,1,1,ESP,87
1040,1,1,0,PRT,88
1081,2,1,1,RUS,89
1233,1,0,0,USA,90
1235,3,1,0,MAR,91
1246,1,0,1,PRT,92
1351,2,2,0,ROU,93
1393,3,0,0,BRA,94
1398,2,2,0,BRA,95
1399,2,0,0,MAR,96
1431,1,0,0,BRA,97
1467,1,0,0,BEL,98
1515,2,0,0,UKR,99
1531,2,0,0,SMR,100
1535,1,0,0,ITA,101
1539,40,0,0,PRT,102
1587,26,0,0,PRT,103
1643,50,0,0,PRT,104
1684,1,0,0,LVA,105
1708,2,0,1,PRI,106
1710,2,1,0,SRB,107
1722,1,0,0,SWE,108
1791,2,2,0,IND,109
1818,2,2,0,FRA,110
1823,2,0,0,CHL,111
1836,2,0,0,EST,112
1868,2,0,0,LVA,113
1917,27,0,0,PRT,114
2041,2,0,0,AUT,115
2059,2,0,0,BLR,116
2067,2,0,0,LTU,117
2087,3,0,0,LUX,118
2130,2,0,0,LUX,119
2132,1,0,0,AUT,120
2149,1,0,0,OMN,121
2172,2,0,0,TUR,122
2173,55,0,0,PRT,123
2224,0,0,0,PRT,124
2227,2,2,0,ZAF,125
2228,20,0,0,PRT,126
2229,6,0,0,PRT,127
2231,5,0,0,PRT,128
2242,3,0,0,AGO,129
2340,2,0,0,ISR,130
2357,2,2,0,CHL,131
2417,10,0,0,PRT,132
2541,2,0,0,IND,133
2552,1,0,0,FIN,134
2557,2,0,0,CYM,135
2672,2,2,0,ZMB,136
2687,1,1,0,GBR,137
2723,1,0,0,CHE,138
2763,2,0,0,CPV,139
2819,3,1,0,GBR,140
2849,2,0,1,POL,141
2875,3,0,0,NLD,142
2905,2,0,0,ZWE,143
2930,1,0,0,DZA,144
2946,1,0,0,CZE,145
3059,2,2,0,RUS,146
3105,1,0,0,NOR,147
3134,2,1,0,POL,148
3181,0,0,0,ESP,149
3448,2,0,0,ZAF,150
3500,2,0,0,KOR,151
3574,2,2,1,PRT,152
3576,2,2,0,POL,153
3622,2,0,0,CRI,154
3638,1,2,0,GBR,155
3744,2,1,0,ARG,156
4126,2,1,0,HUN,157
4127,0,0,0,nan,158
5037,2,0,0,ARE,159
5308,3,1,0,NLD,160
5493,2,0,0,TUN,161
5512,3,1,0,ESP,162
5706,1,0,0,ARG,163
5758,2,2,0,NOR,164
5767,1,2,0,ARG,165
5925,1,0,0,POL,166
6030,2,2,0,ARE,167
6097,2,2,0,DEU,168
6128,1,0,0,ROU,169
6157,2,1,0,JAM,170
6311,2,2,0,ARG,171
6357,2,2,0,DNK,172
6378,1,0,1,POL,173
6534,3,1,0,SWE,174
6554,2,2,0,NLD,175
6569,3,1,0,CN,176
6598,2,0,0,HRV,177
6681,1,2,1,PRT,178
6712,1,0,0,HKG,179
6748,2,3,0,PRT,180
6956,2,0,0,IRN,181
6971,3,0,0,POL,182
6999,1,0,0,LUX,183
7076,2,0,0,GEO,184
7119,2,0,0,DZA,185
7134,2,2,0,MAR,186
7143,2,0,0,AND,187
7199,3,1,0,RUS,188
7263,2,0,1,DEU,189
7275,2,2,0,LUX,190
7360,3,0,1,PRT,191
7389,3,1,0,ITA,192
7396,3,1,0,USA,193
7424,2,1,0,CHE,194
7503,2,1,0,RUS,195
7519,2,2,0,ITA,196
7622,3,1,0,FRA,197
7626,2,0,0,GIB,198
7652,3,0,0,DEU,199
7666,1,3,0,PRT,200
7732,2,0,0,URY,201
7860,2,0,0,nan,202
7887,2,0,1,MAR,203
7966,4,0,0,GBR,204
7980,2,0,0,JEY,205
8052,4,1,0,PRT,206
8091,2,0,1,BRA,207
8095,2,1,1,BRA,208
8236,2,0,0,HKG,209
8245,1,0,0,CAF,210
8249,2,0,0,CYP,211
8391,1,2,0,IRL,212
8511,1,2,0,CHE,213
8513,2,2,0,FIN,214
8534,3,1,0,AUT,215
8536,3,1,0,CHE,216
8807,2,2,0,AUT,217
8939,3,1,0,BRA,218
8948,2,2,0,SWE,219
9041,2,1,1,IRL,220
9123,2,1,0,BEL,221
9283,1,0,0,GRC,222
9321,2,0,0,COL,223
9394,1,0,0,ISR,224
9400,1,0,0,ARE,225
9533,1,0,0,GGY,226
9605,3,2,0,PRT,227
9651,1,0,0,BLR,228
9726,2,0,0,KWT,229
9795,2,1,1,FRA,230
9800,3,0,0,AUS,231
9801,2,1,0,AUS,232
9811,3,1,0,ARG,233
9815,1,0,0,EST,234
9818,1,0,0,NGA,235
9914,2,2,0,TUR,236
9923,3,1,0,LUX,237
10019,3,1,0,KOR,238
10131,2,1,0,NLD,239
10254,2,1,0,CHL,240
10263,3,0,0,CHL,241
10442,2,2,0,AUS,242
10518,3,1,0,POL,243
10552,1,0,0,HUN,244
10611,2,0,0,MDV,245
10753,3,1,0,BEL,246
10823,3,1,0,VEN,247
10847,2,2,0,HUN,248
10869,2,2,0,ISR,249
11011,2,2,0,MDV,250
11014,1,0,0,MDV,251
11044,2,0,0,HUN,252
11088,2,1,0,DEU,253
11247,2,2,0,HRV,254
11421,2,2,0,SVK,255
11632,3,2,0,GBR,256
11683,2,2,0,AGO,257
11773,3,1,0,DEU,258
11804,2,2,0,FJI,259
11887,2,2,0,KAZ,260
11984,1,0,0,AUS,261
12040,2,2,0,PAK,262
12056,2,0,0,SVK,263
12095,3,1,0,FIN,264
12257,1,2,0,NGA,265
12268,2,0,0,IDN,266
12271,2,0,1,ROU,267
12371,2,0,0,LBN,268
12399,2,1,0,ARE,269
12424,2,0,0,PHL,270
12505,1,2,0,BRA,271
12544,3,1,0,NOR,272
12545,2,1,0,NOR,273
12588,1,2,0,NOR,274
12619,2,1,0,ROU,275
12678,2,1,0,ISR,276
12734,2,2,0,SEN,277
12864,2,0,0,SYC,278
12873,2,1,0,MDV,279
12913,3,1,0,CYP,280
12993,1,2,0,ESP,281
13015,2,0,0,AGO,282
13019,2,1,0,ITA,283
13020,3,0,0,ITA,284
13021,2,2,0,CHN,285
13032,3,1,0,ARE,286
13038,3,1,0,CHN,287
13044,2,1,0,MAR,288
13247,2,2,0,GEO,289
13428,3,1,0,LVA,290
13533,2,1,0,AZE,291
13733,1,0,0,LBN,292
13773,2,2,0,AND,293
13776,2,0,0,BHR,294
13911,2,1,0,nan,295
14116,3,0,0,nan,296
14402,2,2,0,nan,297
14444,1,0,0,CYP,298
14556,2,0,2,nan,299
14612,2,0,1,nan,300
15424,3,0,0,AUT,301
15449,2,0,0,NZL,302
15597,2,2,0,IDN,303
15778,3,0,0,NOR,304
15814,2,1,1,NOR,305
15866,2,1,0,SWE,306
15894,2,0,1,FRA,307
16000,1,1,0,NOR,308
16150,3,0,0,NZL,309
16151,4,0,1,PRT,310
16187,2,0,0,KAZ,311
16360,2,3,0,BEL,312
16376,2,2,0,SVN,313
16405,2,0,1,USA,314
16414,1,1,0,USA,315
16973,2,0,0,THA,316
17205,2,0,1,IRL,317
17233,2,1,0,LVA,318
17482,2,2,0,LTU,319
17560,2,0,0,DOM,320
17607,2,2,1,MKD,321
17876,2,0,0,PRI,322
17878,1,0,0,DNK,323
17880,2,0,0,MYS,324
18082,2,1,0,FIN,325
18488,2,0,0,NGA,326
18511,2,0,0,VEN,327
18734,2,0,0,ARM,328
18807,1,0,0,LTU,329
19120,2,0,0,JPN,330
19488,3,0,0,NGA,331
19538,2,0,0,LKA,332
19637,2,1,0,CHN,333
19659,1,1,0,DEU,334
19790,2,0,0,CUB,335
19808,2,0,1,ITA,336
19846,1,0,0,UKR,337
19895,2,0,0,CMR,338
20393,3,0,0,MAR,339
20446,1,1,0,BRA,340
20526,3,0,0,CHN,341
20732,1,0,0,NZL,342
20993,2,0,0,BIH,343
21005,2,3,0,ESP,344
21006,2,0,0,MUS,345
21012,2,1,1,NGA,346
21032,2,1,0,COM,347
21102,1,1,0,FRA,348
21180,2,2,0,SUR,349
21211,2,1,0,MEX,350
21299,2,0,1,ARG,351
21426,1,0,0,JAM,352
21637,1,0,0,CHN,353
21753,1,0,0,UGA,354
21843,1,0,0,CUB,355
21900,2,0,0,BGR,356
22026,2,0,1,ALB,357
22366,1,2,0,FIN,358
22383,4,0,0,ESP,359
22389,2,0,0,CIV,360
22407,2,0,0,SRB,361
22658,2,0,0,JOR,362
22662,2,0,0,SYR,363
22726,3,0,0,BEL,364
22828,4,1,0,GBR,365
23101,3,0,0,IND,366
23324,2,2,0,OMN,367
23597,2,1,0,EST,368
23798,1,0,0,PRI,369
23922,3,0,0,SWE,370
24042,2,0,0,SGP,371
24068,2,0,0,BDI,372
24453,2,0,1,IND,373
24517,2,0,1,BEL,374
24610,2,1,1,GBR,375
24659,2,1,0,AGO,376
24786,3,1,0,SAU,377
25114,2,2,0,LBN,378
25356,3,1,1,GBR,379
25389,2,3,0,USA,380
25428,1,0,0,AGO,381
25459,2,1,1,CHE,382
25682,3,1,0,AND,383
25771,2,0,0,VNM,384
25940,1,1,0,AZE,385
25988,3,0,0,MOZ,386
26031,3,2,0,AUS,387
26228,3,0,1,GBR,388
26306,4,0,0,USA,389
26318,2,0,0,PLW,390
26377,2,1,1,GIB,391
26489,2,0,0,QAT,392
26802,1,1,0,CHE,393
26829,2,0,1,CN,394
26905,2,2,0,CYP,395
26939,2,0,1,NLD,396
26969,3,0,1,CN,397
27246,1,3,0,IRL,398
27432,2,0,0,EGY,399
27694,3,1,0,PER,400
27718,2,0,1,CHE,401
27943,3,0,0,SVK,402
28085,4,0,0,IRL,403
28133,2,0,0,SUR,404
28331,2,2,0,CZE,405
29550,2,1,0,LTU,406
29786,1,1,0,POL,407
29849,1,1,0,FIN,408
29906,2,0,2,GBR,409
29998,2,0,0,MLT,410
30345,2,0,0,MWI,411
30657,2,0,1,NZL,412
31073,1,0,0,ECU,413
31143,3,1,0,EST,414
31270,1,0,0,MAR,415
31309,2,0,1,CHN,416
31325,1,0,0,BGR,417
31327,2,1,0,MYS,418
31351,2,1,0,SGP,419
31812,2,0,1,SWE,420
31851,1,0,0,MYS,421
31863,2,2,1,BRA,422
31875,2,0,0,MDG,423
32211,1,0,0,IDN,424
32214,1,0,0,IND,425
32318,2,1,1,POL,426
32373,1,0,1,IRL,427
32422,1,0,0,ISL,428
32485,1,0,0,TUR,429
32827,0,0,0,FRA,430
33132,2,0,0,CAF,431
33201,3,0,0,JAM,432
33217,1,1,0,CHN,433
33248,2,0,0,UZB,434
33263,3,1,1,ESP,435
34667,2,0,1,LUX,436
34802,2,0,0,NPL,437
35068,1,0,0,SRB,438
35143,1,0,0,KAZ,439
35205,2,2,1,ESP,440
35279,1,1,0,IND,441
35431,2,0,1,NGA,442
35495,1,0,0,SVN,443
35570,2,0,1,AUS,444
35673,2,0,0,JAM,445
35732,1,0,0,ZAF,446
35953,2,0,0,BHS,447
36123,1,1,1,GBR,448
36355,2,0,1,CZE,449
36573,3,1,0,IND,450
36917,2,0,0,PAK,451
36937,2,2,1,GBR,452
36965,2,1,1,ITA,453
36992,1,0,0,MAC,454
37459,0,0,0,GBR,455
37733,2,0,0,TGO,456
37894,2,3,0,BRA,457
37909,1,1,0,CN,458
38053,3,1,0,ZAF,459
38163,2,0,0,TWN,460
38170,1,0,0,TWN,461
38189,1,2,0,DNK,462
38197,2,2,0,NGA,463
38472,1,1,1,PRT,464
38478,2,2,0,DJI,465
38554,3,1,0,ISL,466
38592,1,1,0,ESP,467
38671,2,0,0,ISL,468
38727,2,1,0,AND,469
38792,3,0,0,CZE,470
38954,3,0,0,AZE,471
38996,3,1,0,TUR,472
39047,3,0,0,PHL,473
39063,1,2,0,CN,474
39118,3,2,0,MAR,475
39808,3,2,0,USA,476
39931,4,0,0,ITA,477
40584,1,1,0,ITA,478
40927,2,3,0,FRA,479
40984,0,3,0,PRT,480
41035,1,0,0,MEX,481
41048,0,2,0,FRA,482
41152,3,0,0,COL,483
41446,0,2,0,PRT,484
41633,2,0,0,STP,485
42106,2,2,0,VEN,486
42260,1,2,0,AGO,487
42295,3,0,0,KOR,488
42572,1,0,0,VEN,489
42591,0,0,0,SWE,490
43045,2,0,1,ISR,491
43066,2,0,0,AZE,492
43511,1,0,0,JPN,493
43819,3,0,0,GRC,494
45447,3,0,0,HUN,495
45556,2,0,0,SEN,496
45724,1,0,0,KOR,497
45725,1,0,0,PER,498
45754,1,0,0,EGY,499
45787,1,0,0,SVK,500
45798,1,0,0,IRN,501
45825,1,0,0,SAU,502
45847,1,0,0,KNA,503
45850,1,0,0,HRV,504
45854,1,0,0,JOR,505
45863,1,0,0,THA,506
45872,1,0,0,COL,507
46150,0,2,1,PRT,508
46186,0,2,0,DEU,509
46190,3,0,0,ETH,510
46196,0,2,0,BEL,511
46220,0,2,0,ESP,512
46233,2,2,0,JPN,513
46487,2,0,0,SAU,514
46546,0,2,0,BRA,515
46579,2,0,0,PER,516
46619,2,0,10,PRT,517
46638,2,0,0,ECU,518
46688,0,2,0,OMN,519
46689,2,1,0,OMN,520
46690,2,2,0,IRQ,521
46691,2,0,0,IRQ,522
46716,1,0,0,MOZ,523
47062,1,0,0,CPV,524
47110,0,1,0,PRT,525
47121,0,2,0,ITA,526
47133,0,2,0,POL,527
47139,1,0,0,CHL,528
47175,0,2,0,KOR,529
47201,0,2,0,USA,530
47444,0,0,0,CHE,531
47458,3,0,0,FIN,532
47464,2,0,0,HND,533
47540,3,0,0,JPN,534
47712,1,0,0,RWA,535
47815,2,1,0,TUR,536
47817,0,2,0,CHN,537
47846,3,0,0,PAK,538
47850,1,0,0,PAK,539
47888,2,1,0,UKR,540
47889,2,2,0,AZE,541
48124,3,0,0,HRV,542
48151,2,2,0,DZA,543
48233,0,2,0,MEX,544
48377,3,0,0,GIB,545
48441,3,0,0,VEN,546
48455,0,2,0,CHE,547
48630,0,2,0,AUT,548
48637,2,1,0,NGA,549
48715,2,1,0,HRV,550
48832,2,2,0,IRN,551
48834,2,1,0,IRN,552
48873,3,0,0,CPV,553
48900,0,1,0,BEL,554
48934,3,0,0,TUR,555
48980,2,0,0,ZMB,556
49206,2,1,0,QAT,557
49212,1,2,0,SAU,558
49334,1,0,0,KWT,559
49335,1,0,0,SGP,560
49336,2,1,0,TWN,561
49428,2,0,0,KHM,562
49554,2,0,0,MCO,563
49606,3,0,0,EST,564
49619,3,0,0,BGD,565
49621,2,0,0,BGD,566
49839,3,0,0,ISL,567
50032,1,0,0,UZB,568
50162,0,2,0,NLD,569
50175,1,2,0,ARE,570
50190,1,2,0,KAZ,571
50197,2,2,0,TUN,572
50249,3,0,0,LVA,573
50322,2,2,0,GRC,574
50399,1,1,0,NLD,575
50691,2,0,0,IMN,576
50868,2,0,0,TJK,577
50994,1,2,0,CHN,578
51037,2,1,0,BGR,579
51189,2,2,0,THA,580
51195,1,3,0,AGO,581
51275,3,0,0,ISR,582
51330,0,2,0,GBR,583
51585,0,2,0,IND,584
51592,1,0,0,ARM,585
51773,2,1,0,AUT,586
52159,2,1,0,NIC,587
52847,3,0,0,SAU,588
52849,2,2,0,SAU,589
53463,3,0,0,SGP,590
53545,3,0,0,HKG,591
53641,0,2,0,SWE,592
53642,3,0,0,ARE,593
53825,2,1,0,CZE,594
53932,2,0,0,GGY,595
54016,1,0,0,GEO,596
54100,2,1,0,IDN,597
54298,1,0,0,AZE,598
54582,2,1,0,DNK,599
54588,1,1,0,DNK,600
54636,2,0,0,BEN,601
54644,2,2,1,DEU,602
54657,2,0,0,MAC,603
54697,2,1,0,TUN,604
54876,2,1,0,JPN,605
54888,0,3,0,FRA,606
55120,2,0,0,VGB,607
55159,3,0,0,GEO,608
55164,2,1,0,MUS,609
55238,2,2,0,MOZ,610
55319,0,2,0,MAR,611
55502,3,0,0,UKR,612
55572,3,0,0,SVN,613
55600,2,1,0,COL,614
55805,2,1,0,DZA,615
55806,3,0,0,DZA,616
55807,1,1,0,IRL,617
56015,1,1,0,BEL,618
56029,0,2,0,RUS,619
56103,3,0,0,MLT,620
56122,2,1,0,MLT,621
56292,3,0,0,EGY,622
56754,0,2,0,SAU,623
57036,1,0,0,TZA,624
57038,0,2,0,TZA,625
57043,1,2,0,EGY,626
57094,1,2,0,RUS,627
57211,0,2,0,IRL,628
57290,1,0,0,GAB,629
57775,2,2,0,ISL,630
57915,2,0,0,MKD,631
58764,1,2,0,IND,632
59276,1,0,0,BIH,633
59604,1,0,0,VNM,634
59816,1,2,0,USA,635
60052,2,0,0,GHA,636
60133,1,1,0,AGO,637
60511,0,2,0,TUR,638
60777,1,0,0,SEN,639
60817,1,0,0,PHL,640
60918,3,0,0,VNM,641
60997,0,2,0,ARG,642
61036,0,2,0,ROU,643
61458,2,0,0,TMP,644
61459,3,0,0,TWN,645
61594,2,1,0,BGD,646
61611,3,0,0,GLP,647
61754,3,0,0,KEN,648
62607,2,1,1,SWE,649
63313,2,2,0,KOR,650
63379,2,2,0,GIB,651
63729,2,0,0,TZA,652
63812,2,0,0,LIE,653
64063,2,0,0,GNB,654
64261,3,0,0,URY,655
64540,2,0,1,GRC,656
64815,2,1,0,GRC,657
64859,0,2,0,EGY,658
64885,1,0,0,ETH,659
64997,3,0,0,IRN,660
65110,0,2,0,HUN,661
65118,0,2,0,ARE,662
65757,0,2,0,ISR,663
66083,2,1,0,IMN,664
66339,2,1,0,BHR,665
66989,1,1,0,SWE,666
67108,2,2,0,BGR,667
67239,2,1,0,MNE,668
67797,3,0,0,THA,669
67850,1,1,0,RUS,670
68118,2,2,0,BHR,671
68227,2,0,0,UMI,672
68414,1,0,0,MLT,673
68707,3,0,0,JEY,674
68854,0,2,0,DNK,675
70367,2,2,0,BGD,676
70660,3,2,0,ITA,677
70742,1,0,0,DOM,678
70923,2,0,0,MYT,679
70930,2,3,0,CN,680
70934,2,2,0,JEY,681
71170,1,0,1,FRA,682
71290,2,1,0,JOR,683
71667,0,2,0,NOR,684
71820,3,0,0,SRB,685
71962,3,0,0,IDN,686
72445,2,2,0,DOM,687
72446,2,1,0,DOM,688
72505,3,0,0,GHA,689
72560,3,0,0,QAT,690
72589,3,0,0,FRO,691
72633,2,0,0,GAB,692
72659,1,0,0,CIV,693
72764,2,2,0,MYT,694
72821,1,0,0,BHR,695
73077,3,0,0,KWT,696
73316,2,1,0,ECU,697
73569,3,0,0,ZAF,698
73685,2,1,0,SAU,699
76620,0,0,0,ITA,700
77718,2,2,0,UKR,701
78193,3,0,0,CMR,702
78383,1,2,0,SWE,703
78506,2,0,0,MMR,704
78656,1,0,9,GBR,705
78812,1,0,0,IRQ,706
79271,3,2,0,BRA,707
79971,2,0,0,PAN,708
80896,1,0,0,TUN,709
81331,3,0,0,TMP,710
82270,1,0,0,MUS,711
82556,2,2,1,FRA,712
83070,2,0,0,BFA,713
83411,1,2,0,KEN,714
83445,2,3,0,KOR,715
83777,1,2,0,BEL,716
83902,2,2,0,COL,717
84429,2,1,2,PRT,718
84454,0,2,0,FIN,719
84612,1,0,0,LBY,720
84684,1,0,0,GNB,721
84842,2,1,1,MAR,722
84881,3,0,0,BGR,723
85309,1,2,0,DEU,724
85483,3,0,0,LTU,725
85491,0,0,0,DEU,726
85539,0,0,0,SVN,727
85931,0,0,0,NLD,728
86052,3,0,0,MEX,729
86307,2,1,0,SVK,730
86596,1,0,0,CRI,731
87103,4,0,0,DEU,732
87268,2,0,0,MLI,733
87428,2,1,0,THA,734
87590,2,1,0,TZA,735
87636,2,1,0,KOR,736
88243,2,1,0,CRI,737
88315,2,0,0,NAM,738
88366,2,0,0,BOL,739
88369,2,0,1,DNK,740
88377,1,0,0,BOL,741
89589,1,2,0,POL,742
89771,1,0,0,URY,743
90790,0,2,1,ITA,744
91196,1,0,0,SYC,745
91280,2,0,1,HUN,746
91340,1,0,0,QAT,747
91380,2,1,0,EGY,748
91535,2,0,0,PRY,749
91751,1,0,0,BRB,750
91991,2,2,0,TMP,751
92014,1,0,1,NLD,752
92127,3,0,0,ABW,753
92415,2,3,0,NOR,754
92680,2,1,1,ROU,755
92738,2,2,0,MEX,756
92807,2,2,0,AIA,757
92854,3,2,0,NOR,758
92918,2,1,0,LBN,759
92921,2,3,0,DNK,760
93009,2,2,0,URY,761
93143,3,0,0,SLV,762
93204,0,0,0,FIN,763
93473,2,3,0,GBR,764
93705,1,2,0,NLD,765
93736,3,0,0,KAZ,766
94063,2,0,2,DNK,767
94447,3,0,1,ESP,768
94449,2,0,0,DMA,769
94583,2,3,0,POL,770
94769,0,0,0,RUS,771
94774,2,3,0,IRL,772
94849,2,3,0,NLD,773
95146,3,1,0,DNK,774
95368,2,0,1,JPN,775
95431,4,0,0,NLD,776
95497,2,1,1,DEU,777
95995,4,0,0,CN,778
96013,1,2,0,ITA,779
96225,1,1,0,AUT,780
96737,1,0,1,SVK,781
96847,4,0,0,CHE,782
96866,2,1,1,FIN,783
97254,2,1,1,IND,784
97413,2,1,0,NZL,785
97511,2,1,1,EST,786
97715,2,0,0,PYF,787
97746,0,2,0,CHL,788
98046,0,0,0,USA,789
98288,2,0,0,UGA,790
98447,2,0,1,AGO,791
99446,1,0,0,GUY,792
99517,2,0,0,LCA,793
99598,1,0,0,ATA,794
100135,2,2,0,SRB,795
100275,2,1,0,GAB,796
100346,2,0,1,KOR,797
100474,2,1,0,SVN,798
100563,0,0,0,POL,799
100858,2,0,0,RWA,800
100900,1,0,0,PAN,801
101399,0,0,0,SGP,802
101401,0,0,0,LUX,803
101957,0,0,0,BRA,804
102125,1,0,0,ALB,805
102206,1,0,0,MKD,806
102273,1,2,0,TUR,807
102320,1,1,0,SVN,808
102535,1,0,0,MNE,809
102579,2,0,0,MNE,810
103011,4,0,0,ARG,811
103131,2,2,0,PHL,812
103285,2,2,1,ITA,813
103460,2,0,1,CUB,814
103968,2,2,1,JPN,815
104155,2,0,0,GTM,816
104260,0,2,0,THA,817
104457,1,2,0,AUS,818
104575,1,1,0,MAR,819
104802,3,0,0,CYP,820
104943,2,0,0,ASM,821
104991,3,0,0,PAN,822
105222,3,0,0,CRI,823
105250,4,0,0,BRA,824
105664,1,0,0,SYR,825
106125,4,0,0,FRA,826
106199,1,0,0,GHA,827
106409,3,2,0,FRA,828
106446,3,0,0,LBN,829
106833,0,0,0,IRN,830
106888,1,0,0,LKA,831
107334,3,0,0,PER,832
107938,1,1,0,LUX,833
108456,0,1,0,BLR,834
108906,3,0,0,BIH,835
109377,3,0,0,OMN,836
109430,0,2,0,LUX,837
109697,2,1,0,URY,838
109823,2,0,0,KEN,839
109825,1,0,0,KEN,840
109905,2,2,0,NZL,841
109980,2,0,0,MRT,842
110431,1,0,0,CMR,843
110533,1,0,1,BRA,844
110581,3,2,0,CHE,845
110852,1,0,0,BGD,846
110890,3,0,0,ECU,847
111228,2,0,0,ABW,848
111531,0,0,0,IRL,849
111895,2,1,0,GTM,850
111980,0,0,0,IND,851
112040,2,0,0,NCL,852
112122,3,0,1,AGO,853
113152,1,2,0,LUX,854
113275,2,0,1,VEN,855
113741,0,1,0,FRA,856
113817,1,0,0,KIR,857
113912,2,0,0,SDN,858
114362,2,0,1,RUS,859
114686,2,1,0,KEN,860
115071,2,0,1,NOR,861
115334,2,0,0,ATF,862
115424,2,0,0,KNA,863
115541,2,3,0,ROU,864
115563,2,3,0,ARM,865
115861,1,3,0,CHN,866
115891,2,3,0,FIN,867
115956,0,2,0,JOR,868
116150,2,3,0,MEX,869
116358,2,1,0,LBY,870
116394,3,2,0,DNK,871
116539,2,3,0,ITA,872
116558,0,2,0,ZAF,873
116692,2,2,0,JOR,874
116828,2,1,0,CMR,875
116965,3,2,0,BEL,876
117399,2,0,0,SLE,877
117539,2,1,1,CN,878
117579,2,0,0,SLV,879
117943,2,0,0,LAO,880
118100,3,0,0,MYS,881
118200,0,3,0,MAR,882
118247,2,2,0,COM,883
118366,2,0,0,ETH,884
118794,2,0,1,COL,885
118835,2,1,0,CYP,886
118913,3,2,0,IRL,887
118947,1,1,0,HUN,888
